"spkid","full_name","moid_ld","H","rot_per","pha"
20001981,"  1981 Midas (1973 EA)",1.08,15.27,5.22,Y
20002101,"  2101 Adonis (1936 CA)",4.48,18.69,,Y
20002135,"  2135 Aristaeus (1977 HA)",3.32,18.05,,Y
20002201,"  2201 Oljato (1947 XC)",1.08,15.32,26,Y
20002340,"  2340 Hathor (1976 UA)",2.58,20.43,3.35,Y
20003200,"  3200 Phaethon (1983 TB)",7.28,14.39,3.604,Y
20003361,"  3361 Orpheus (1982 HR)",5.7,19.54,3.5327,Y
20003362,"  3362 Khufu (1984 QA)",5.06,18.52,,Y
20003671,"  3671 Dionysus (1984 KD)",5.83,16.49,2.7053,Y
20004034,"  4034 Vishnu (1986 PA)",7.44,18.49,44.4,Y
20004179,"  4179 Toutatis (1989 AC)",2.54,15.29,176.,Y
20004581,"  4581 Asclepius (1989 FC)",1.5,20.74,8.008,Y
20004660,"  4660 Nereus (1982 DB)",1.62,18.75,15.1749,Y
20004769,"  4769 Castalia (1989 PB)",7.89,17.40,4.095,Y
20004953,"  4953 (1990 MU)",9.52,14.88,14.218,Y
20005011,"  5011 Ptah (6743 P-L)",9.38,16.65,56.3,Y
20005693,"  5693 (1993 EA)",2.28,16.78,2.496,Y
20006037,"  6037 (1988 EG)",9.31,18.86,2.7602,Y
20006489,"  6489 Golevka (1991 JX)",8.74,19.22,6.026,Y
20007335,"  7335 (1989 JA)",8.35,17.70,2.58988,Y
20007482,"  7482 (1994 PC1)",0.282,16.58,2.5999,Y
20007753,"  7753 (1988 XB)",2.56,18.01,42.2,Y
20007822,"  7822 (1991 CS)",8.41,17.34,2.3896,Y
20008014,"  8014 (1990 MF)",6.56,18.88,50.09,Y
20008566,"  8566 (1996 EN)",8.78,16.47,4.845,Y
20009856,"  9856 (1991 EE)",8.63,17.10,3.045,Y
20012923," 12923 Zephyr (1999 GK4)",7.77,15.80,3.893,Y
20013651," 13651 (1997 BR)",6.07,17.89,33.644,Y
20014827," 14827 Hypnos (1986 JK)",6.14,18.81,,Y
20016960," 16960 (1998 QS52)",7.14,14.32,2.8985,Y
20020425," 20425 (1998 VD35)",1.63,20.51,,Y
20023187," 23187 (2000 PN9)",5.82,16.05,2.5325,Y
20025143," 25143 Itokawa (1998 SF36)",5.17,19.26,12.132,Y
20027002," 27002 (1998 DV9)",0.907,18.31,,Y
20031669," 31669 (1999 JT6)",0.388,16.09,5.807,Y
20033342," 33342 (1998 WT24)",4.07,18.02,3.697,Y
20035396," 35396 (1997 XF11)",0.129,17.01,3.259,Y
20037638," 37638 (1993 VB)",0.47,19.28,3.5301,Y
20037655," 37655 Illapa (1994 PM)",9.6,17.85,2.6556,Y
20041429," 41429 (2000 GE2)",4.33,20.66,,Y
20052760," 52760 (1998 ML14)",6.6,17.52,14.28,Y
20052768," 52768 (1998 OR2)",2.27,16.02,4.112,Y
20054509," 54509 YORP (2000 PH5)",0.193,22.66,0.2029,N
20065679," 65679 (1989 UQ)",5.44,19.62,7.746,Y
20065909," 65909 (1998 FH12)",5.05,19.31,3,Y
20066391," 66391 Moshup (1999 KW4)",4.61,16.64,2.7645,Y
20067381," 67381 (2000 OL8)",7.13,19.80,,Y
20068216," 68216 (2001 CV26)",9.42,16.57,2.429,Y
20068347," 68347 (2001 KB67)",6.1,19.92,6.354,Y
20068372," 68372 (2001 PM9)",2.03,18.95,,Y
20068950," 68950 (2002 QF15)",1.86,16.39,45.24,Y
20069230," 69230 Hermes (1937 UB)",1.91,17.68,13.894,Y
20085182," 85182 (1991 AQ)",6.22,17.13,,Y
20085236," 85236 (1993 KH)",0.249,18.75,5.057,Y
20085585," 85585 Mjolnir (1998 FG2)",8.21,21.64,11.6,Y
20085640," 85640 (1998 OX4)",0.276,21.14,,Y
20085713," 85713 (1998 SS49)",1.96,15.77,2.258,Y
20085938," 85938 (1999 DJ4)",9.84,18.73,2.5141,Y
20086039," 86039 (1999 NC43)",9.74,15.95,122.2,Y
20086819," 86819 (2000 GK137)",6.35,17.48,3.0239,Y
20088254," 88254 (2001 FM129)",3.91,17.77,38.56,Y
20089958," 89958 (2002 LY45)",0.0781,17.22,3.265,Y
20089959," 89959 (2002 NT7)",0.342,16.55,5.527,Y
20090416," 90416 (2003 YK118)",0.578,18.86,43.58,Y
20099942," 99942 Apophis (2004 MN4)",0.14,19.09,30.56,Y
