"spkid","full_name","e","per_y","class"
20001981,"  1981 Midas (1973 EA)",0.6505,2.37,APO
20002101,"  2101 Adonis (1936 CA)",0.7641,2.57,APO
20002135,"  2135 Aristaeus (1977 HA)",0.5031,2.02,APO
20002201,"  2201 Oljato (1947 XC)",0.7107,3.22,APO
20002340,"  2340 Hathor (1976 UA)",0.4499,0.775,ATE
20003200,"  3200 Phaethon (1983 TB)",0.8897,1.43,APO
20003361,"  3361 Orpheus (1982 HR)",0.3232,1.33,APO
20003362,"  3362 Khufu (1984 QA)",0.4685,0.984,ATE
20003671,"  3671 Dionysus (1984 KD)",0.5438,3.26,APO
20004034,"  4034 Vishnu (1986 PA)",0.4440,1.09,APO
20004179,"  4179 Toutatis (1989 AC)",0.6247,4.06,APO
20004581,"  4581 Asclepius (1989 FC)",0.3569,1.03,APO
20004660,"  4660 Nereus (1982 DB)",0.3588,1.81,APO
20004769,"  4769 Castalia (1989 PB)",0.4832,1.1,APO
20004953,"  4953 (1990 MU)",0.6575,2.06,APO
20005011,"  5011 Ptah (6743 P-L)",0.5002,2.09,APO
20005693,"  5693 (1993 EA)",0.5851,1.43,APO
20006037,"  6037 (1988 EG)",0.4996,1.43,APO
20006489,"  6489 Golevka (1991 JX)",0.6188,3.9,APO
20007335,"  7335 (1989 JA)",0.4845,2.36,APO
20007482,"  7482 (1994 PC1)",0.3294,1.57,APO
20007753,"  7753 (1988 XB)",0.4816,1.78,APO
20007822,"  7822 (1991 CS)",0.1646,1.19,APO
20008014,"  8014 (1990 MF)",0.4560,2.31,APO
20008566,"  8566 (1996 EN)",0.4304,1.85,APO
20009856,"  9856 (1991 EE)",0.6258,3.36,APO
20012923," 12923 Zephyr (1999 GK4)",0.4927,2.75,APO
20013651," 13651 (1997 BR)",0.3057,1.54,APO
20014827," 14827 Hypnos (1986 JK)",0.6643,4.81,APO
20016960," 16960 (1998 QS52)",0.8591,3.26,APO
20020425," 20425 (1998 VD35)",0.4766,1.96,APO
20023187," 23187 (2000 PN9)",0.5894,2.51,APO
20025143," 25143 Itokawa (1998 SF36)",0.2802,1.52,APO
20027002," 27002 (1998 DV9)",0.4335,2.3,APO
20031669," 31669 (1999 JT6)",0.5778,3.12,APO
20033342," 33342 (1998 WT24)",0.4177,0.609,ATE
20035396," 35396 (1997 XF11)",0.4838,1.73,APO
20037638," 37638 (1993 VB)",0.5200,2.65,APO
20037655," 37655 Illapa (1994 PM)",0.7524,1.8,APO
20041429," 41429 (2000 GE2)",0.5556,2.01,APO
20052760," 52760 (1998 ML14)",0.6236,3.74,APO
20052768," 52768 (1998 OR2)",0.5757,3.67,APO
20054509," 54509 YORP (2000 PH5)",0.2300,1.01,APO
20065679," 65679 (1989 UQ)",0.2645,0.875,ATE
20065909," 65909 (1998 FH12)",0.5397,1.14,APO
20066391," 66391 Moshup (1999 KW4)",0.6884,0.515,ATE
20067381," 67381 (2000 OL8)",0.5429,1.52,APO
20068216," 68216 (2001 CV26)",0.3267,1.52,APO
20068347," 68347 (2001 KB67)",0.3799,0.943,ATE
20068372," 68372 (2001 PM9)",0.4156,2.06,APO
20068950," 68950 (2002 QF15)",0.3443,1.09,APO
20069230," 69230 Hermes (1937 UB)",0.6239,2.13,APO
20085182," 85182 (1991 AQ)",0.7776,3.31,APO
20085236," 85236 (1993 KH)",0.3111,1.37,APO
20085585," 85585 Mjolnir (1998 FG2)",0.3563,1.48,APO
20085640," 85640 (1998 OX4)",0.4857,1.99,APO
20085713," 85713 (1998 SS49)",0.6388,2.67,APO
20085938," 85938 (1999 DJ4)",0.4845,2.52,APO
20086039," 86039 (1999 NC43)",0.5789,2.33,APO
20086819," 86819 (2000 GK137)",0.5059,2.82,APO
20088254," 88254 (2001 FM129)",0.6295,1.29,APO
20089958," 89958 (2002 LY45)",0.8864,2.1,APO
20089959," 89959 (2002 NT7)",0.5284,2.29,APO
20090416," 90416 (2003 YK118)",0.4922,2.21,APO
20099942," 99942 Apophis (2004 MN4)",0.1912,0.886,ATE
20100085,"100085 (1992 UY4)",0.6187,4.32,APO
